abciximab;acyclovir;alteplase;amiodarone;amlodipine;amoxicillin;ampicillin;angiotensin II;argatroban;aspirin;atorvastatin;atracurium;azithromycin;bisacodyl;bivalirudin;bumetanide;captopril;carvedilol;cefazolin;cefepime;ceftazidime;ceftriaxone;ciprofloxacin;cisatracurium;clindamycin;clonazepam;clonidine;desmopressin;dexamethasone;dexmedetomidine;diltiazem;diphenhydramine;dobutamine;dopamine;enoximone;epinephrine;epoprostenol;eptifibatide;erythromycin;esmolol;felodipine;fentanyl;fluconazole;flumazenil;furosemide;gentamicin;glycopyrronium;haloperidol;heparin;hydrocodone;hydromorphone;hypromellose;ketamine;ketorolac;lansoprazole;lepirudin;levetiracetam;levofloxacin;lidocaine;linezolid;lorazepam;meropenem;methadone;methylprednisolone;metoclopramide;metronidazole;micafungin;midazolam;milrinone;mirtazapine;morphine;neostigmine;nesiritide;nicardipine;nimodipine;nitroglycerin;nitroprusside;norepinephrine;octreotide;pancuronium;pentobarbital;phenylephrine;phenytoin;piperacillin;procainamide;propofol;ranitidine;rocuronium;simvastatin;spironolactone;succinylcholine;sufentanil;sulfamethoxazole;thiopental;tirofiban;tramadol;tranexamic acid;treprostinil;triamterene;vancomycin;vasopressin (USP);vecuronium;warfarin;xylometazoline
;HAPIS;;;NECPO;CLACILLIN;AMCILLIN;;;Kassiodon;CRADIPAIR;;Linbi;Carters Little Pills;;;Novo-Captoril;Carvedilol Axcount;;;;CEFTRIAXONE WINTHROP;PROXCO;;Xinqi;;;;Puradex;;Diltiazem Vem;Euvegal;;;;Marcaine with Epinephrine;;;T-Stat Pad-Lot;;FLODIL;Mezolar Matrix;BUKWANG FLUCONAZLE;;FUROSEMIDE ARROW;Garasol;;;Venalot;Drocon-CS;;Aquae Dry Mouth;;;Agopton;;Levetiracetam Amneal;Luda;Orgasmus Stopper;;;;;EMPYSOLON;Metomax;Byk Metronidazol;;;;;Morphinsulfat Abz;;;;;Nitrolingual Forte;;;;;;Chemdal HD;;;;;Junizac;;Xizhida;Spiro Furosemid;;;Trigonyl;;;PAINLESS;;;;;;;;Xylo Comod
;PHARMAKING ACYCLOVIR;;;NEODROPINE;CLAMOX;UBACTAM;;;Neuralgin Ass;DIROSTA;;Aiyi;Gen Lax;;;Ratio-Captopril;Carvedilol Hexal;;;;Ceftriaxon Midas;QUINOS;;Jingdan;;;;Corti;;Dilzereal;Dolestan;;;;Adrenalin Infectopharm;;;Sterile Erythromycin Lactobionate;;Felocor;Opiodur;DAEHWA FLUCONAZOLE;;FUROSEMIDE EG;Pattotic;;;Thrombophob;Mintuss NX;;Methopt Tears;;;Lanso 1a Pharma;;Levetiracetam Aristo;Kelebituo;Procto Celestan;;;;;ANASOL;Apo-Metoclop;Infectoclont;;;;;Morphinsulfat Auto-Injector;;;;;Glonoinum;;;;;;Chemtussin HC;;;;;Ranitidin W 150;;Lizhishu;Spiro Lut;;;BACTRIM;;;PENCURE SEMI;;;;;;;;Xylo Ct
;CLIVAR;;;NORVATEC;CLAVUTIN DUO;UNISULAM;;;Neuramag;DUO V;;Qihong;Boots Constipation Relief;;;KETANINE;Ava-Carvedilol;;;;CEFRIXONE;CILOXADEX;;Clinda-Guard;;;;Dexycu;;Dilta Abz;Diphenhydramin-Pharmakon;;;;Allergodil;;;Dura Erythromycin;;Felodipin Dura;Instanyl;FLANLIN;;FUROSEMIDE MYLAN;Dispagent;;;Canusal;Pneumotussin;;Poly-Tears;;;Riva Lansoprazole;;Levetiracetam Bluefish;Jieqi;Procto Jellin;;;;;MPD L;Metoclopramide Omega;Metronidazol Ct;;;;;Morphinsulfat Ps Pharma;;;;;From Time To Time;;;;;;Chlortox;;;;;Acid Reducer;;Jiezhi;Spironolacton Al;;;Tms Forte;;;TARACET SEMI;;;;;;;;Xylo Siozwo
;CLOVIN;;;OLDIP;KLAVON DUO;Ampicillin+Sulbactam-Ratiopharm;;;Neo Gepan;ESTORIN;;Kaiqi;Vantage Pharmacy Constipation Relief;;;Hypapril;Novo-Carvedilol;;;;WHITE TRIAXONE;CIPROFLOXACINE ACCORD;;Veltin;;;;CLEAR-F;;Diltiagamma;Lunadorm;;;;Fastjekt;;;Aktipak;;Felodipin Stada;OneDuro;FLUCOSZOLE;;FUROSEMIDE ZYDUS;Durabetagent;;;Monoparin;Hydrocod-GF;;Clear Eyes Tears and Itchy Eye Relief;;;LANCEPT;;Levetiracetam Hexal;Xipukeding;Prigenta;;;;;DISOLRIN;Metonia;FLASINYL CJ;;;;;Msi;;;;;Nitrong Sr;;;;;;Comhist;;;;;Apo-Ranitidine;;Xisai;ALDALIX;;;Roubac;;;ACERANO;;;;;;;;Xyloduo Ratiopharm
;ILYANGBIO ACLOVA;;;OROSARTAN;LIUMOX NEO;;;;Novo Petrin;EUROVATIN;;Shuluokang;Jietai;;;Tensopril;Ratio-Carvedilol;;;;Rocephin;CIPROFLOXACINE BIOGARAN;;Clindacin;;;;DACLE;;Mtw Diltiazem;Sedawaman;;;;Lidocaton;;;ERYTHIN-S;;Delmuno;Abstral;FLUNAZOLE;;Uremide;Genta Coll;;;Calciparine;Hydrocodone CP;;Hypromellose-Stulln;;;LANCET;;Levetiracetam Normon;Ruikesha;Probaphen;;;;;MEDISONE;;MENIMA;;;;;Msr;;;;;NitroMist;;;;;;Cytuss HC;;;;;Med Ranitidine;;Jingbishuxin;SPIRONOLACTONE ALTIZIDE BIOGARAN;;;Nu-Cotrimox;;;ACETRACET SEMI;;;;;;;;Xylometazolin Ap
;SAMA ACYCLOVIR;;;SARDIPINE;MAXILIN;;;;Paedialgon;LIPINO;;Yuqi;Bisacodyl Teva;;;Hyteneze;Pms-Carvedilol;;;;Luoshifen;CIPROFLOXACINE PANPHARMA;;Clinda Carino;;;;DEXACOTISIL;;Tilker;Sediat;;;;Xylestesin-A;;;Aknemycin;;Modip;Fentanyl Me;FLUZOL;;Betasemid;Gentamicin Rotexmedica;;;Hepsal;Hydrocodone HD;;Dry Eye Tears;;;LANFEZOLE;;Levetiracetam Synthon;Aoweixian;Supertendin;;;;;METHYLPIDI;;METROCOL;;;;;Mst;;;;;Nitronal;;;;;;D.A. II;;;;;Riva Ranitidine;;Simvastatine Apotex;SPIRONOLACTONE ALTIZIDE MYLAN;;;Trisulfa;;;CETADOL;;;;;;;;Axea Nasentropfen
;TAIGUK ACYCLOVIR;;;SIAMLOPIN;MOXAMENTIN;;;;Retortapyrin;Lipitor;;Azi Teva;Docpelin Proculax;;;Captoril;Zym-Carvedilol;;;;Ceftriaxon Dts;CIPROFLOXACINE RATIOPHARM;;Clinda Mip;;;;DEXCOSIL;;DILTIAZEM BGR;Roewo-Dorm;;;;Ultracain;;;Arpimycin;;Unimax;Fentanyl Rotexmedica;FUCONAL;;Furogamma;Gentanit;;;Hepaflush;Kwelcof;;Lacril Dps;;;LANSETIN;;Prepalepan;Tianshawei;Steros Anal;;;;;Depo-Nisolone;;MISSILOR;;;;;Morph - 1 A Pharma;;;;;Nitrolingual;;;;;;Dicomal-DH;;;;;R-BOSDI;;Ezetimibe / Simvastatine Mylan;SPIRONOLACTONE ALTIZIDE TEVA;;;;;;DUODYNE;;;;;;;;Otriven
;VACRAX;;;S-SARTAN;PHARMA AMOXICILLIN;;;;Refagan N;Ale;;AZIROMAX;Neo Zirkulin;;;Kaifute;Carvidol;;;;Ceftriaxon Saar;CIPROFLOXACINE TEVA;;Clinda Stragen;;;;JSONE;;DILTIAZEM BIOGARAN;Regudorm;;;;Adaptagen;;;Erythroped A;;Renedil;Fentanyl Actavis;FUNAZOL;;Furosemid Stada;Sulmycin Implant;;;Peseta;Spantuss HD;;Ocutears;;;LANSOPAN;;Apo-Levetiracetam;Saiersining;Trachitol Hals;;;;;Methylprednisolon Acis;;ROZACREME;;;;;Ntp-Morphine Sr;;;;;Nitrodisc;;;;;;Codimal DH;;;;;ALBIADINE;;Bel Simvastatin;SPIRONOLACTONE ALTIZIDE ZENTIVA;;;;;;FINEMI SEMI;;;;;;;;Nasenspray E Hexal
;VIRAX;;;TELMINOVA;ILSUNG AUGMENTIN;;;;Ratiopyrin;ATOR;;AZATH;MUCINUM A L;;;Bangdemei;CARAVE;;;;Ceriaxon;CIPROFLOXACINE ZENTIVA;;Ribomin;;;;VIDEXA;;DILTIAZEM MYLAN;Reise-Tabletten Luenopharm;;;;Ad Plex;;;Eryzole;;;Fentanyl Awd;FURONAL;;Fusid;SAEROGENTA;;;SINUSPAX;Allay;;;;;LANSOPRA;;Bio-Levetiracetam;Tianfuxin;Wobe Mugos;;;;;Methylprednisolon Al;;GRINAZOLE;;;;;Abl;;;;;Nitrocontin Continus;;;;;;Ditussin-HC;;;;;ALBIRAN;;Simva Hennig;Spiractin;;;;;;HIGH-CONTI SEMI;;;;;;;;Nasenspray Elac
;ACICLOVIR BIOGARAN;;;TWINACT;INIST NEO;;;;Sinpro;ATOSTAR;;BINOZYT;Soflax;;;Kaibaoyaning;CARVEDILON;;;;CELLTRION CEFTRIAXONE;UNIFLOX;;CLINDAFLUID;;;;AK-Neo-Dex;;DILTIAZEM RPG;Aller-Aide;;;;Alopt;;;Erymin;;;FENTAS;LUNAZOL;;Osyrol;ACRASON;;;Xifuquan;Atuss HD;;;;;LANSOSIN;;Dom-Levetiracetam;Tefubike;Wick Sulagil;;;;;Neo-Medrol Acne;;SPIRAMYCINE METRONIDAZOLE GERDA;;;;;OPIDUL;;;;;Nitromin;;;;;;Duradal HD Plus;;;;;ALBITIDINE;;Simvacard;Spironolacton - 1 A Pharma;;;;;;TIOCET;;;;;;;;Vitanasin Schnupfentropfen
;ACICLOVIR EVOLUGEN;;;TWINHIGH;MAXICLAN;;;;Silentan;ALPHASTATIN;;AZADOSE;Hemolax;;;Cardiagen;CARVEX;;;;GENTRI;Ciprol;;CLINDAMYCINE KABI;;;;Dexacine;;DILTIAZEM SANDOZ;Allergy Formula;;;;Allforce;;;Ilotycin;;;BC FENTANYL CITRATE;TAI GUK FLUCONAZOLE;;Spiro-D-Tablinen;DIGENTA;;;Sukenuo;Co-Gesic;;;;;LANSOTEC;;Jamp-Levetiracetam;Levoflox Ct;Vita Brachont;;;;;L-SOLONE;;SPIRAMYCINE/METRONIDAZOLE ALMUS;;;;;Kadian;;;;;Rectogesic;;;;;;Rondex;;;;;ANITIN C;;Zocor Merck;;;;;;;TRACAN SEMI;;;;;;;;Cold And Allergy Decongestant
;REMEX;;;TWYNBETA;MOXICLE NEO;;;;Sofri;AROVAN;;AZITHROMYCINE ARROW;Mediolax Medice;;;Captopril Axsan;CARVIROL;;;;DAEHAN NEW PHARM CEFTRIAXONE;Cipro Basics;;ZINDACLINE;;;;Dexacort Phosphate in Respihaler;;Diltahexal;Calmex;;;;Anakit Insect Sting Treatment Kit;;;Eryderm;;;MYUNGMOON FENTANYL;DINACAN;;Spironolacton Heumann;GENTAMICIN SULFATE AHNGOOK;;;Ambene;Decotuss-HD;;;;;PRATON;;Pro-Levetiracetam;Levofloxacin Actav;Xylonor N;;;;;BANTAN;;SPIRAMYCINE/METRONIDAZOLE CRISTERS;;;;;MSIR;;;;;Millis;;;;;;Enditussin-HD;;;;;AU;;CHOLESTINE;;;;;;;TRACOM;;;;;;;;Otrivin Cold & Allergy Relief
;HERPESEDERMYL;;;TWYN-X;NECMOCLEAN;;;;Sp Ass;HATOR;;AZITHROMYCINE EG;Luenolax;;;Captopril Freemed;DILATEN;;;;DAEWOONG GOMCEPHIN;Cipro-Saar;;Zydaclin;;;;Dexamethasone Intensol;;Diltiazem Hennig;Calmylin;;;;Endoplex;;;Robimycin;;;FENTANYL ARROW;AUSKONAZOLE;;Bio-Furosemide;PANADERM;;;Arthro Menthoneur;Dolagesic;;;;;SOPRAN;;Pms-Levetiracetam;CLABACTER;Lexifen;;;;;HUSOLONE;;SPIRAMYCINE/METRONIDAZOLE QUALIMED;;;;;Rescudose;;;;;Dydrene;;;;;;Endotuss-HD;;;;;INBIS;;EZSTAR;;;;;;;ULTRA-MET SEMI;;;;;;;;Otrivin Cold And Allergy Decongestant Nose
;Aciclovir Cold Sore;;;UDIPINE;NOVOCLAN;;;;Thomapyrin;HUTECS ATORVASTATIN;;AZITHROMYCINE MYLAN;Laxierperlen Waaning;;;Captopril Hct Al;DIVEROL;;;;ETEX CEFTRIAXONE;Ciprodoc;;Duac Akne;;;;AK-Trol;;Novo-Diltazem Sr;Flu, Cough & Cold Complete;;;;Panplex;;;PCE;;;FENTANYL BIOGARAN;CELRUNA;;Uritol;NAMIYA-G;;;Ditaven;Drituss HD;;;;;Zoton;;Levenakai;LECROX;Keepan;;;;;MEDISOL;;SPIRAMYCINE/METRONIDAZOLE RANBAXY;;;;;Depodur;;;;;Naijiaoning;;;;;;Enomine;;;;;LANIDONE;;HUSIMBA;;;;;;;X-PAIN;;;;;;;;Dah
;Acivision;;;VALTAN X;O-MEN DUO;;;;Treupel;LIPISTATIN;;AZITHROMYCINE PHR LAB;Tempo-Lax Zaepfchen;;;Captopril Temmler;I CARVEDIL;;;;GLOTRIAXONE;Ciprofloxacin Al;;Clindahexal;;;;Dalalone;;Danzem;Extra Strength Allergy Total;;;;Tyd-Plex;;;Erythroped SF;;;FENTANYL JANSSEN;DAEWOO FLUCONAZOLE;;Furoscix;SILKRON;;;Dolo Menthoneurin;ENDAL HD PLUS;;;;;Putuoping;;Ketraccord;LEVOHI;Zcaine;;;;;MEPISOLONE;;SPIRAMYCINE/METRONIDAZOLE ZYDUS;;;;;Diocalm;;;;;An Io Injeel;;;;;;Exo-Tuss;;;;;RANIMUSEDI;;LIPIDUE;;;;;;;TIOCET-SEMI;;;;;;;;Nazo-Mist
;Acyclo-V;;;XPERA;PAMOXIN;;;;Toximer;NEWPEX;;AZITHROMYCINE RATIOPHARM;Tirgon;;;Captopril Verla;NEWDILEN;;;;CEFTRON;Ciprofloxacin Bundeswehr;;Clindamycin Kabi;;;;Dexacort Phosphate in Turbinaire;;Adizem;Extra Strength Flu Relief Nightime;;;;Ultracaine Ds;;;Dermamycin Erythromycin;;;FENTANYL PANPHARMA;DICAZOL;;Lasix;AMOL-G;;;Dolo Spondyril;Entuss;;;;;Lansoprazol Dura;;KERATAM;LEVOX;Hemaway;;;;;MEPSOLONE;;Metronidazole Pfizer;;;;;J Collis Browne's;;;;;Betripenta;;;;;;Formulation R;;;;;RANIT D;;LIPOSTAR;;;;;;;TRANOL;;;;;;;;Otrivine
;Cold Sore;;;AMLODIN;PRIMOX;;;;Ubichinon;SUMITO;;AZITHROMYCINE ZENTIVA;Solaxtabs;;;Capto Basf;Eucardic;;;;CETIAXONE;Ciprofloxacin Hec Pharm;;Clindoxyl Adv Gel;;;;Robadex;;Dilzem SR;Extra Strength Simply Sleep Liqui-Gels;;;;Systopt;;;E-Solve 2;;;FENTANYL RANBAXY;FLOZOLE;;Lo-Aqua;GENTALLINE;;;Doloneuro;Gua HC;;;;;LANSTOP;;Desitrend;YOOYOUNG LEVOFLOXACIN;ANGELCAINE;;;;;PREDWIN;;Metrogyl;;;;;Opso;;;;;Coro Nitro;;;;;;Guaifenex;;;;;RAQUNIN;;SIMPEX DUO;;;;;;;ULTRAMAC;;;;;;;;Otrivin
;Zyclir;;;AMODIPIN;ACLAN NEO;;;;Zentragress;UDAMVA;;Azithromycin Heumann;Stadalax;;;Capto Isis;Coreg;;;;ETEX CEFTRIAXONE SODIUM;Ciprofloxacin Normon;;Mylan-Clindamycin;;;;Methadex;;Metazem;Cough, Cold And Flu Nightime;;;;Isopto Epinal Iit>;;;Emgel;;;FENTANYL TEVA;FLUCAN;;Froop Co;Gentamycin-Mp;;;Etrat;Histinex PV;;;;;HYUNDAI LANSOPRAZOLE;;Tiananxin;JAYLEVO;CAIN-TOP;;;;;PROZEMA;;Arilin;;;;;MS-Twicelon;;;;;Digi Nitronal;;;;;;Prep-Hem;;;;;SUBIRADI;;SIMVACOMIBE;;;;;;;ULTRASK;;;;;;;;Rynacrom Allergy
;Acerpes;;;ANOPIN;ACRENTIN DUO;;;;Rx-Act Headache Formula;ACTOVAR;;Azithromycin Stada;Royvac Bowel Evacuant Kit;;;Mtw Captopril;Artist;;;;KOREA UNITED CEFTRIAXONE;Ciprofloxacin-Hameln;;Nu-Clindamycin;;;;Dropodex;;Tildiem LA;Cold & Flu-In-One;;;;Adrenalin;;;Ery-Sol;;;Denpax;FULUJIN;;Co-amilofruse;Garatec;;;Flexocutan;Hycomed;;;;;LANSOPLE;;Levetiracetam Hormosan;LEBOTAM;LECASIN;;;;;Depo-Medrol;;Clont;;;;;Meishikangding;;;;;Elhaterin;;;;;;Histinex HC;;;;;TRICID;;SIMVART;;;;;;;ITRAPHEN;;;;;;;;Sudafed SE
;Aciclo Basics;;;ATOVADIPNE;AMOCTIN DUO;;;;Alka-Seltzer Plus Cold and Cough Effervescent;AMVASTA;;Dom-Azithromycin;Silver Bullet;;;Phamopril;Tuoer;;;;SPOTRIN;Infectociprocort;;Taro-Clindamycin;;;;Otomize;;Viazem XL;Nighttime Allergy;;;;Symjepi;;;Erymax Sprinkle;;;Fenpatch;LUCO-S;;Diumide-K;Ratio-Gentamicin;;;Haemo;Hycosin Expectorant;;;;;LANSTON;;Levetiracetam Juta;LEVOBAY;HUONS LIDOCAINE EPINEPHRINE;;;;;Depo-Medrone;;Metronidazol Artesan-Drossapharm;;;;;Embeda;;;;;Govil;;;;;;Ex-Tuss;;;;;UNIBIS;;SIMVASTAN;;;;;;;KJCET;;;;;;;;Sudafed Congestion Relief
;Aciclovir Al;;;BIDUET;CLAMAX DUO;;;;BC Arthritis;A-PITO;;Jamp-Azithromycin;;;;Tensiomin;Luode;;;;CEFTISON;Apo-Ciproflox;;Teva-Clindamycin;;;;Lenadex;;Optil;Nighttime Flu, Cough & Cold Complete Relief Extra Strength;;;;BARCAINE;;;Erythromicin;;;Fentanyl Pfizer;NEWFLCOZOLE;;Furosemide Accord;Pms-Gentamicin-Betamethasone;;;Haven;Hycotuss Expectorant;;;;;LANSTER;;Levetiracetam Ratiopharm;LEVOFLOXACIN CJ;LITAINE;;;;;HybriSil;;Metronidazol Mylan;;;;;M Beta;;;;;Glonoin;;;;;;Protid;;;;;Zantac;;SIMVATIN;;;;;;;MAXNOPHEN SEMI;;;;;;;;Otrivine Antistin
;Aciclovir Dura;;;CADI-M;CLAMOX DUO;;;;Bayer Headache Relief;ATODUET;;Pro-Azithromycine;;;;Tensobon;Zhuoyi;;;;YOOYOUNG CEFTRIAXONE SODIUM;Mint-Ciproflox;;Clindamed;;;;Orgadrone;;Dilcardia SR;Nighttime Total Cold And Flu;;;;OKTOKAIN;;;Erythroped Forte SF;;;Fentanyl Q-Pharm;SAMNAM FLUCONAZOLE;;Duraspiron;Odan-Gentamicin;;;Hylo Parin;Hydrophene DH;;;;;LANOZOLE;;Levetiracetam Wint;LEVOKING;UNION LIDOCAINE EPINEPHRINE;;;;;Depo-Medrone with Lidocaine;;Apo-Metronidazole;;;;;M Long;;;;;Gepan;;;;;;Hycomal DH;;;;;Ranicalm;;VAZETIN;;;;;;;MEGACET;;;;;;;;Vividrin
;Aciclovir Heumann;;;CELLEVICA;CLARIN DUO;;;;Exaprin;ATORVAS;;Pms-Azithromycin;;;;CAPTEA;Cefaclor Heumann;;;;CEFTRIAXONE ACTAVIS;Ipg-Ciprofloxacin;;Clindrops;;;;Duolisheng;;Diltia;Jack & Jill;;;;POSICAINE;;;Zineryt;;;Fentanyl Stada;CHOA FLUCONAZOLE;;Furosemid Aps;Genone;;;Ichthalgan;Hyphed;;;;;LANSTON LFDT;;Levip;GRABELLA;CHLORHYDRATE DE LIDOCAINE RENAUDIN;;;;;Medrate;;Florazole Er;;;;;M Stada;;;;;Hevert Migraene;;;;;;Phenabid;;;;;Gavilast;;ZOVACO;;;;;;;NEOMADOL;;;;;;;;Otra
;Acyclovir Denk;;;DIPINS;DUOCLA;;;;Painaid ESF;ATOSTIN;;Azithromycin Denk;;;;CAPTOPRIL TEVA;Carve Q;;;;CEFTRIAXONE ALMUS;Riva Ciprofloxacin;;Cabtreo;;;;Yiketie;;Dilacor;Jamp Diphenhydramine Children'S;;;;Epipen;;;Erycoli;;;Fentanyl-Hameln;DANACAN;;Furesis;Gentaotic;;;Hepacux;Hyphen-HD;;;;;LANSOPRAZOLE KRKA;;EPILATAM;JW LEVOFLOXACIN;CODOTUSSYL;;;;;Predni M;;Pms-Metronidazole;;;;;Morixon;;;;;Klavikordal;;;;;;Wellbid-D;;;;;Lloydspharmacy Htburn & Indigestion Relief;;EZESTAR;;;;;;;NEUTRACET;;;;;;;;Schnupfen Endrine
;Herpetad;;;DONGWHA AMLODIPINE BESYLATE;TIRAMOX;;;;ASPIREL DUO;CADIEN;;AZIRON;;;;CAPTOPRIL ZYDUS;Carvedilol Dura;;;;CEFTRIAXONE KABI;Nu-Ciproflox;;Odontopaste;;;;Limeidasong;;Optil SR;Regular Strength Sleep Aid;;;;Epinal;;;Aijiaxing;;;Fentapon;DAYCAN;;Furo Ratiopharm;Remicin;;;Heparin Al;Hytussin Expectorant;;;;;LANSOPRAZOLE LICONSA;;LEVETIRACETAM ACTAVIS;LEVOTRA;DYNEXAN;;;;;Neo-Medrol;;Pylera;;;;;Morph;;;;;Lacorwen;;;;;;Nasop;;;;;Lloydspharmacy Indigestion Relief;;SIMEZQUER;;;;;;;NOTONGPHEN PLUS;;;;;;;;Siozwo
;Wariviron;;;DOUBLELOW;TIRAMOX-S;;;;CLOAPIN;DEUSTIN;;AZI-V;;;;CAPTOPRIL/HYDROCHLOROTHIAZIDE ARROW;Carvedilol Kwizda;;;;CEFTRIAXONE RPG;Taro-Ciprofloxacin;;Ziana;;;;Gedali;;Angitil XL;Sedicin;;;;Simplene;;;Guansha;;;Fentadolon;DIFUCOZOLE;;Furomed Wolff;Motazol;;;Heparin Vem;HYCOTUSS;;;;;LANSOPRAZOLE PHR LAB;;LEVETIRACETAM ALTER;LYROXACIN;LIDOCA;;;;;MLOID;;Metrolyl;;;;;Morph Basf;;;;;Nitro Pflaster;;;;;;Nasex;;;;;Detelier;;SIMVASTATIN AHNGOOK;;;;;;;SUPERCET SEMI;;;;;;;;Flo Xylo-Pos
;Zovirax Duo;;;ENPIDUET;YUCLA;;;;DAEWON ASPIRIN;ADUET;;AMASIN;;;;CAPTOPRIL/HYDROCHLOROTHIAZIDE BIOGARAN;Dimetil;;;;CEFTRIAXONE TEVA;Ciaxone;;Cleocin-T;;;;Dianshu;;Calcicard;Sanatos Severe Cold & Cough Nighttime;;;;Bronitin;;;Akne Cordes;;;Fentamedica Matrix;DISFLU;;Furosal;Mometazole;;;Kelofibrase;Tusnel HC;;;;;LANSOPRAZOLE QUALIMED;;LEVETIRACETAM CRISTERS;PROVIT;XYLOCONTACT;;;;;PD;;Norzol;;;;;Msiw Krugmann;;;;;Nitro Praecordin N;;;;;;Guaiphen PD;;;;;Xisita;;ILYANGBIO SIMVASTATIN;;;;;;;TAISON SEMI;;;;;;;;Dr.Theiss Nasenspray
;Apo-Acyclovir;;;FINEDIPINE;IL SUNG AUGMENTIN;;;;PLVIX A;ARVATIN;;AROWON;;;;CAPTOPRIL/HYDROCHLOROTHIAZIDE ZENTIVA;ALVOGEN CARVEDILOL;;;;Ceftriaxon Devatis;CIFLO;;Clindagel;;;;Xiluoan;;Uard;Dimetapp Children's Multi-Symptom Cold and Flu;;;;Lignospan;;;Ery Diolan;;;Fentanyl Aristo;FILUCO;;Spiro F;BETADERM-G;;;Logomed Venen;Genocidin Tuss;;;;;LANSOPRAZOLE RATIOPHARM;;LEVETIRACETAM EG;RILEVO;XYLONOR;;;;;MEPHSOL;;Noritate;;;;;Morphin Abl;;;;;Nitrolingual Poh Mpa;;;;;;Dacex A;;;;;Ouhuada;;SIMVAS;;;;;;;TAMIDOL;;;;;;;;Nasenspray Accedo
;Ipg-Valacyclovir;;;HYTOPPIN;K-MENTINE;;;;RINAS;ATATIN;;AZIMYCIN;;;;LOPRIL;CAVEDIA;;;;Ceftriaxon Eberth;CIFLONEW;;Cleocin;;;;Aacidexam;;Retalzem;Wal-Dryl PE;;;;P2E1;;;Ery Reu;;;Fnetanyl-Hexal Sublingual;FUROX;;Spiro Furosemid;FULUSON-G;;;Ostochont;KG-Dal HD;;;;;LANSOPRAZOLE SANDOZ;;LEVETIRACETAM RANBAXY;WITHUS LEVOFLOXACIN;YRANOL EUGENOLE;;;;;METHYLON;;Elyzol;;;;;Morphin Al;;;;;Nitroperlinit;;;;;;Duratan DM;;;;;Shanweide;;SIMVASTAR;;;;;;;TRA;;;;;;;;Nasic
;Herpirax;;;AMBP S;LAMOCRIN NEO;;;;SUPERPIRIN;ATOTATIN;;RICHTHROMAX;;;;Acenorm;KYONGBO CARVEDILOL;;;;Ceftriaxon Stragen;CIPMAXIN;;Dalacin T;;;;Dexagenta-POS;;Zildil;Somnapure;;;;Primatene Mist Inhaler;;;Erybeta;;;Pat-Fentanyl Mat;MYCONAZOLE;;FURIX;STASONE-G;;;Phlogase;KG-Tussin;;;;;LANSOPRAZOLE ZYDUS;;Kerron;LEVOFLOXACINE HOSPIRA;ZIACAINE;;;;;PROND;;Acea;;;;;Onkomorphin;;;;;Nikor;;;;;;Alacol DM;;;;;Fuwei;;SIMVASTATIN DONGSUNG;;;;;;;TRACET;;;;;;;;Xylo Apogen
;CLORAC;;;AMEVICA;OMETIN DUO;;;;WHITE ASPIRIN;ATURENTO;;ZIROMAX;;;;Topace;CARNONE;;;;;CIPROCOS;;Evoclin;;;;Tresaderm;;DILTIAZEM ARROW;Mersynonight;;;;Sensorcaine with Epinephrine;;;Erysec;;;Ionsys;TINAZOLE;;ALDALIX;ASADA;;;Peutadyn H;Lortab ASA;;;;;Lanzopran;;Kevtam;LEVOFLOXACINE ISOMED;Haemorrhoid And Pruritis Relief;;;;;SOLENILONE;;Fushuda;;;;;Oramorph Lt;;;;;Nitrangin;;;;;;Tussall ER;;;;;Qidi;;SIMVASTATIN YUHAN;;;;;;;TRACOMPA;;;;;;;;Xylo-I-Med
;ACYLKIT;;;AMIFORGE;PAMOCKLE;;;;YOOYOUNG ASPIRIN;FAROTIN;;ZITHRON;;;;Captopril Hct Sandoz;CARVETA;;;;;CIPROXINA;;Qinlin;;;;Dexium;;Hebeishuang;Wal-Dryl-D Allergy;;;;Iontocaine;;;Erythro;;;;TRIFLUCAN;;Diurapid;DERMOGEN;;;Reso Nit;Margesic-H;;;;;Lanso Tad;;Levactam;LEVOFLOXACINE TEVA;Paraderm;;;;;PREVANTAN;;Shuruite;;;;;Sevredol Dx;;;;;Neos Nitro;;;;;;Genetuss 2;;;;;Jiuao;;CALLSDOWN;;;;;;;TRAMADOL HCL HANALL;;;;;;;;Otrivin Allergy And Cold Decongestant
;ACYROVA;;;AMLOBA;AMODEX;;;;YOUNGIL ASPIRIN;INDUET;;Zithromax;;;;Captopril Pb;CARVEE;;;;;CYFLOC;;Xinyikang;;;;Glensoludex;;Taiweite;Dytan-DM;;;;Adrenalin Sintetica;;;Erythro Basan;;;;FLUCONAZOLE ACTAVIS;;Furosemid Al;JEBENDA;;;Thrombareduct Sandoz;Maxi-Tuss SA;;;;;Lansoprazol Aaa;;Levecetam;Levofloxacin Aristo;Sore Throat Lozenge;;;;;KONISOLONE;;Metrozol;;;;;Sevredol Hp;;;;;Nitrorectal;;;;;;Dexcon DM;;;;;Mtw Ranitidin;;EZESIMVA;;;;;;;TRIMACET;;;;;;;;Otrivin Menthol
